"yes_or_no_ne_attribute","vendor","api_status_code_ne_attribute","invitation_status","should_we_demo_idproofing_ne_attribute","personal_email","personal_mobile","invitation_sent_date","personal_first_name","projects","demo_email","engagement_type_of_employment","profile_uid_ne_attribute","is_company_provided_training_required_ne_attribute","will_this_person_be_provided_equipment_ne_attribute","will_remote_access_be_required_ne_attribute","citizenship_ne_attribute","identitynow_id","personal_last_name","Status","Name","UID"
,"Acme Consulting",,,,"LDedrick@acme.com",,,"Libby",,,,"C000957",,,,,,"Dedrick","Terminated","Libby Dedrick","eadbb17d731949f5920e1e68d7529e64"
,"Acme Consulting","200",,,"GDiaz@acme.com","9702503344","02/23/2021","Gene","SailPoint Implementation Services - July 2019","thook@seczetta.com",,"C000151","Yes","Yes","Yes",,"ac110008-7781-14d1-8177-d115b655077a","Diaz","Terminated","Gene Diaz","1b403ef51b5e438fa62c19e02bc4a8f3"
,"Infosys",,,,"Margie.Harris@infosys.com",,,"Margie","Security Services - June 2010",,,,,,,,,"Harris","Active","Margie Harris","45076907ba3047d4a546a0504523c4c3"
"No","Acme Consulting","200","Accepted","No","Sherry.Turner@acme.com","3126954544","08/16/2021","Sherry","Identity Assessment - Sept 2020","demo+LUKDD@seczetta.com","SOW Worker","C000295","Yes","Yes","Yes","Not Requested","ac110006-7b41-1dff-817b-507af900045c","Turner","Active","Sherry Turner","eebf31204e464d91824e82a773f56eeb"
,"Acme Consulting","200","Accepted","Yes","Rosemary.Gibson@acme.com","3126943434","08/19/2021","Rosemary","SecZetta Health Check - July 2016","demo+NDEQU@seczetta.com","SOW Worker","C000299","No","No","No","Not Requested","ac110006-7b52-114e-817b-5c2f78a900ab","Gibson","Terminated","Rosemary Gibson","a8bd2bb8b81a4edbb48f43934aa3e590"
,"Acme Consulting",,"Accepted",,"Felicia.Carroll@acme.com",,"02/25/2021","Felicia","Oracle Workshop - June 2015","thook@seczetta.com",,"C000778","Yes","Yes","Yes",,"c09c8205-3bcc-438d-9f88-77113c248eb7","Carroll","Active","Felicia Carroll","d8ec05e9f3804c49ae38d98df7b252d4"
,,,,,"cassie.christensens@seczetta.com",,,"Cassie",,,,"000000102",,,,,,"Christensens","Active","Cassie Christensens","ef2decd361e14a47b9bb4ed6489dd705"
,"Acme Consulting","200","Accepted",,"kbowers@acme.com","","05/14/2021","Kayla","Oracle Workshop - June 2015","demo+KYWOX@seczetta.com",,"C000204","No","No","No",,"ac110004-793d-14e4-8179-6be892a92dab","Bowers","Active","Kayla Bowers","24ccae85f41a4435bb95d5e29ede403a"
"No","Acme Consulting","200","Accepted","No","Dale.Foster@acme.com","9802346677","07/14/2021","Dale","Oracle Workshop - June 2015","demo+SIQID@seczetta.com","SOW Worker","C000276","Yes","Yes","Yes","Not Requested","ac110006-7a91-1f4f-817a-a706643c047e","Foster","Terminated","Dale Foster","92baac1ce6ab44eebc382110c7dde83a"
,,,,,"Darlene.Carter@acme.com",,,"Darlene",,,,,,,,,,"Carter","Active","Darlene Carter","cc8f89416c9b4e50a6a3e0251d27599c"
,"KPMG",,,,"Stella.Bailey@kpmg.com",,,"Stella","IAM Quote - Aug 2012",,,,,,,,,"Bailey","Active","Stella Bailey","330d3958323044c8864cfc25b473f9eb"
,"Optiv",,,,"Wallace.Mcdonalid@optiv.com","3125453423","01/19/2021","Wallace","SecZetta Services - Nov 2018","thook@seczetta.com",,,,,,,,"Mcdonalid","Active","Wallace Mcdonalid","04d62669da554e99aa69398b4b977596"
,"Optiv",,,,"Allen.Wallace@optiv.com",,,"Allen","Azure Quote - Dec 2016",,,,,,,,,"Wallace","Active","Allen Wallace","943995d70ce346529de797a4a144e6d7"
,"PWC",,,,"Alyssa.Fuller@pwc.com",,,"Alyssa","Microsoft Health Check - Dec 2014",,,,,,,,,"Fuller","Active","Alyssa Fuller","b596b8932ce24dae9fb79f6fbc95e0af"
,"Acme Consulting",,"Accepted","Yes","Jerry.Barrett@acme.com","1231231233","06/28/2021","Jerry","SailPoint Services - Feb 2015","demo+BWMXR@seczetta.com","SOW Worker","C000257",,,,"Not Requested",,"Barrett","Active","Jerry Barrett","8e736279614447b8bf4d3f9334a6a18a"
"No","Acme Consulting","200","Accepted","Yes","bhayes@acme.com","3032187654","06/07/2021","Beth","Identity Assessment - Sept 2020","demo+IOMIQ@seczetta.com","SOW Worker","C000234","Yes","Yes","Yes","Not Requested","ac11000a-79c1-1d05-8179-e72ed74b04dc","Hayes","Active","Beth Hayes","f52a2fc8b52742fc8bdbc327349ec338"
,,,,,"Harper.Duncan@acme.com",,,"Harper",,,,,,,,,,"Duncan","Active","Harper Duncan","c5e8d0299c9d484da8ab9879a8460146"
,"Acme Consulting","200","Accepted","Yes","Stella.Barnett@acme.com","9807984455","08/09/2021","Stella",,"demo+CKTMA@seczetta.com","SOW Worker","C000286","No","No","No","Not Requested","ac110006-7b1c-1927-817b-2c8581c50112","Barnett","Active","Stella Barnett","786582ea7e5c4a00b7a286d45dabbefc"
"No","Acme Consulting","200","Accepted","Yes","vrogers@acme.com","6547896548","05/25/2021","Vanessa","Risk Assessment - Mar 2019","demo+QVQFO@seczetta.com","SOW Worker","C000223","Yes","Yes","Yes","Not Requested","ac11000c-798b-119e-8179-a5381b950f14","Rogers","Active","Vanessa Rogers","a6f3c76e34514065ad2f0b9c8f928d25"
,"Acme Consulting","200",,,"alyssa.richardson@focalpoint.com","3035551234","02/01/2021","Alyssa","Risk Assessment - Mar 2019","thook@seczetta.com",,"C000130","No","Yes","Yes",,"ac110006-76f4-1acc-8177-60068113194d","Richardson","Active","Alyssa Richardson","f75fc29028ce4145b4b7695999f01e21"
,"Optiv",,,,"Ian.Turner@optiv.com",,"01/19/2021","Ian","SecZetta Services - Nov 2018","thook@seczetta.com",,,,,,,,"Turner","Active","Ian Turner","50d6fd0650474f9083cd0e84e4ddc556"
,"Acme Consulting","200",,,"","9702346677",,"Liam ","On-Demand Outage Services - 2021",,,"C000158","No","Yes","Yes",,,"Hart","Active","Liam Hart","01d4c880ef16410b8a24e4b15c883b06"
,"Acme Consulting",,"Accepted",,"aking@acme.com","9876676688","05/06/2021","Adam","IAM Consulting Services - Nov 2017","demo+RYWYZ@seczetta.com",,,,,,,,"King","Active","Adam King","1735bef2d517480f8364ae92fd91e4e7"
,"Acme Consulting","200","Accepted",,"bbarrett@acme.com","3035551978","05/06/2021","Brayden","Oracle Workshop - June 2015","demo+QWTDO@seczetta.com",,"C000197","No","Yes","Yes",,"ac110004-793d-14e4-8179-4282590b001b","Barrett","Active","Brayden Barrett","62b28ebf1aa6480da3613316c073d3b1"
,,,,"No",,"5554567895",,"Greg",,,"SOW Worker","C000227",,,,"Not Requested",,"Smith","Active","Greg Smith","9275cf29f02c413e9b43baf6387c49ba"
,"Infosys",,,,"Olivia.Castro@infosys.com",,,"Olivia","IAM Workshop Services - Oct 2017",,,,,,,,,"Castro","Active","Olivia Castro","0f080d247dc34159ac2b9f4f4aa5dbb6"
,"Acme Consulting","200","Accepted",,"Rachel.Hayes@acme.com","3126943333","04/30/2021","Rachel","SailPoint Implementation Services - July 2019","demo+XUKMQ@seczetta.com",,"C000191","No","Yes","Yes",,"ac110006-78f0-197f-8179-23bdcca30560","Hayes","Active","Rachel Hayes","1d1990589fba4aa08f2eddf4a453f23d"
"No","Acme Consulting","200","Accepted","Yes","jsmith@acme.com","3034569876","07/13/2021","Jackson","Risk Assessment - Mar 2019","demo+TBZWH@seczetta.com","SOW Worker","C000271","Yes","Yes","Yes","Not Requested","ac110008-7a81-176e-817a-a08b73b50489","Smith","Active","Jackson Smith","284b06a0ba904ba9abfb0c936026ba93"
,"Acme Consulting","200","Accepted",,"kgraham@acme.com","9703488889","04/22/2021","Katie","IAM Consulting Services - Nov 2017","demo+NQFBV@seczetta.com",,"C000186","Yes","No","No",,"ac11000a-78f0-1985-8178-fb8dd93f00a6","Graham","Active","Katie Graham","1c247c98841f4e4faca43270433bc8a8"
,"Acme Consulting","200",,,"April.Bryant@focalpoint.com","3126943876","01/19/2021","April","Oracle Workshop - June 2015","thook@seczetta.com",,"C000116","Yes","Yes","Yes",,"ac11000a-76f4-18c2-8177-1c9e158f0623","Bryant","Active","April Bryant","ad8196654565412db8c60a4a7d279a7f"
,"Acme Consulting","200","Accepted","No","Edward.Diaz@acme.com","","08/11/2021","Edward","On-Demand Outage Services - 2021","demo+EWAKA@seczetta.com","SOW Worker","C000289","No","No","No","Not Requested","ac110006-7b1c-1927-817b-3713415b01b6","Diaz","Active","Edward Diaz","5f1d48b08c5b4167a145006d39428d58"
,"Acme Consulting",,,,"Anne.Miles@acme.com",,"03/12/2021","Anne","IAM Consulting Services - Nov 2017","thook@seczetta.com",,"C000987","No","Yes","Yes",,,"Miles","Active","Anne Miles","a5b4abbb47364256b3a881092734010b"
,,,,,"jennie.crawford@seczetta.com",,,"Jennie",,,,"000000101",,,,,,"Crawford","Active","Jennie Crawford","52560a566d8a433097b6ea4f218dea91"
"No","Acme Consulting","200","Accepted","Yes","enguyen@acme.com","3036541256","07/06/2021","Everett","Identity Assessment - Sept 2020","demo+CITMT@seczetta.com","SOW Worker","C000263","Yes","Yes","Yes","Not Requested","ac110007-7a79-1039-817a-7d1d337f001e","Nguyen","Active","Everett Nguyen","0a6cd1ba3aa649f39b5c09efad25d325"
,,,,,"virgil.marshall@seczetta.com",,,"Virgil",,,,"000000097",,,,,,"Marshall","Active","Virgil Marshall","7aa4d44afa8a41b581f9db45e0759477"
"No","Acme Consulting","200","Accepted","No","Bobbie.James@acme.com","3126943434","06/21/2021","Bobby","Oracle Workshop - June 2015","demo+UGGSU@seczetta.com","SOW Worker","C000247","Yes","Yes","Yes","Not Requested","ac110009-7a10-13b9-817a-3086ffeb367a","James","Active","Bobby James","f19b170d8ef14b24acbe2a1697abed1b"
,"Acme Consulting",,,,"Linda.Mason@pwc.com",,,"Linda",,,,"C000756",,,,,,"Mason","Active","Linda Mason","8303adc3847c4693b7ed5686c53fa73d"
,,,,,"Joan.Harvey@acme.com",,,"Joan",,,,,,,,,,"Harvey","Active","Joan Harvey","5c03c473c25a4a8aa63fdf352d0b738b"
,"Infosys",,,,"Bella.Richards@infosys.com",,,"Bella","Security Workshop - Jan 2015",,,,,,,,,"Richards","Active","Bella Richards","c9bee77109b649a598711444ce66dfce"
,"Accenture",,,,"Edna.Robertson@accenture.com",,,"Edna","SailPoint Quote - Oct 2010",,,,,,,,,"Robertson","Active","Edna Robertson","6a69c40cb8e4473e8177519a68ed7c80"
,,,,,"tjohnson@acme.com",,,"Tommy",,,,,,,,,,"Johnson","Active","Tommy Johnson","dfb59fa500d0411fb82f7c05d64a289a"
,,,,,"tygeorge@seczetta.com",,,"Tyler",,,,,,,,,,"George","Active","Tyler George","f721dfe0ba0f471c8da53edbe84c0247"
,,"200",,,"cdavidson@zcorp.com",,,"Clinton",,,,,"Yes","Yes","No",,"ac11000c-798b-119e-8179-a4004f400f05","Davidson","Active","Clinton Davidson","b571f027b04441fdb2e5e0d5888c2913"
,"Accenture",,,,"Mia.Bishop@accenture.com",,,"Mia","SailPoint Quote - Oct 2010",,,,,,,,,"Bishop","Active","Mia Bishop","c4b3643000dc4a6d800f0a35ea85b324"
"No","Acme Consulting","200","Accepted","Yes","swells@acme.com","3032134321","06/15/2021","Shane","SailPoint Services - Feb 2015","demo+EVVKQ@seczetta.com","SOW Worker","C000244","Yes","Yes","Yes","Not Requested","ac110006-7a10-13c9-817a-10ab1c7e0006","Wells","Active","Shane Wells","2ddb5f0919a947a7a8acff1d49213895"
,"Acme Consulting","200","Accepted",,"warrenday@acme.com","816-217-7560","04/09/2021","Warren","SailPoint Implementation Services - July 2019","demo+HYCRI@seczetta.com",,"C000176","No","Yes","Yes",,"ac110004-7876-14b5-8178-b80087f60307","Day","Active","Warren Day","7d4b4734287c4ac2913358fcd7f3cbac"
,"Acme Consulting",,"Accepted","No","Herman.Beck@acme.com","","06/14/2021","Herman","SailPoint Implementation Services - July 2019","demo+ZMUEH@seczetta.com","SOW Worker","C000243",,,,"Not Requested",,"Beck","Active","Herman Beck","8bd13c6437c14686af512b0f9c1302d8"
,"Accenture",,,,"Andrea.Stanley@acme.com",,,"Andrea",,,,"C006543",,,,,,"Stanley","Active","Andrea Stanley","d98f887b991e474ba7cdb925ad0f8dcf"
"No","Acme Consulting","200","Accepted","No","Darrell.Wheeler@acme.com","3126493333","08/16/2021","Darrell","Identity Assessment - Sept 2020","demo+ZOBLZ@seczetta.com","SOW Worker","C000296","Yes","Yes","Yes","Not Requested","ac110006-7b41-1dff-817b-50a55e700460","Wheeler","Active","Darrell Wheeler","9f35f1158b594461b1567f448a8b12e6"
,"Acme Consulting","200","Accepted",,"Sherri.Gonzalez@acme.com","3126944444","05/03/2021","Sherri","IAM Consulting Services - Nov 2017","demo+YQZIR@seczetta.com",,"C000193","No","Yes","Yes",,"ac110006-78f0-197f-8179-33e2028405e5","Gonzalez","Active","Sherri Gonzalez","afb77af6f46c47faa11525e76dc048f0"
,"Acme Consulting",,"Accepted","No","Lydia.Fisher@acme.com","9807786677","08/12/2021","Lydia","Oracle Workshop - June 2015","demo+MLAZT@seczetta.com","SOW Worker","C000291",,,,"Not Requested",,"Fisher","Active","Lydia Fisher","aafedaf3bb314a5483182d1f811a4082"
,"Acme Consulting",,"Accepted",,"Debbie.Lucas@acmee.com","312.694.3878","03/18/2021","Debbie","IAM Consulting Services - Nov 2017","demo+SFYXG@seczetta.com",,"C000844",,,"Yes",,,"Lucas","Active","Debbie Lucas","d64f5897522e44b59f59f3bd8fb13a56"
,"Deloitte",,,,"Joseph.Ford@deloitte.com",,,"Joseph","SecZetta Quote - Apr 2016",,,,,,,,,"Ford","Active","Joseph Ford","b7771c91138549cf99a5a868d6260cf0"
,"Deloitte",,,,"Clinton.Burns@acme.com",,,"Clinton",,,,"C004335",,,,,,"Burns","Active","Clinton Burns","c63f8ad150e4408c8f59ecfa4547bc06"
,"Acme Consulting","200","Accepted","No","Tiffany.Rogers@acme.com","9702507788","06/10/2021","Tiffany","Oracle Workshop - June 2015","demo+JXXHN@seczetta.com","SOW Worker","C000238","Yes","Yes","No","Not Requested","ac110009-79d0-15ab-8179-f7a8f4890252","Rogers","Active","Tiffany Rogers","fd034c0143f745e1adb06f236da45eb2"
,"Infosys",,,,"Micheal.Perkins@infosys.com",,,"Micheal","IAM Quote - Jan 2010",,,,,,,,,"Perkins","Active","Micheal Perkins","a6d8dbcc15244bf5a36cdcad9e87ac3c"
"No","Acme Consulting","200","Accepted",,"jcole@acme.com","3132563652","06/04/2021","Jason","Risk Assessment - Mar 2019","demo+WWYBF@seczetta.com","SOW Worker","C000233","Yes","Yes","Yes","Not Requested","ac110009-79d0-15ab-8179-d81f35e00077","Cole","Active","Jason Cole","d16440376bbd4bcb8c70fa9dbda1fd4d"
,"Acme Consulting","200","Accepted",,"kmiller@acme.com","3032567894","05/12/2021","Kate","IAM Consulting Services - Nov 2017","demo+SKRZV@seczetta.com",,"C000202","No","Yes","Yes",,"ac11000a-7951-1253-8179-61a0e81f012d","Miller","Active","Kate Miller","2b011a10820844de921ad25629f33719"
,"Acme Consulting",,"Accepted",,"Alexa.Spencer@acme.com","3126943232","05/19/2021","Alexa","On-Demand Outage Services - 2021","demo+RBOJT@seczetta.com",,,,,,,,"Spencer","Active","Alexa Spencer","854db66274b14e8983f05b495ffcde06"
"No","Acme Consulting","200","Accepted","Yes","jruiz@acme.com","6162544563","05/28/2021","Joy","Risk Assessment - Mar 2019","demo+LOCLY@seczetta.com","SOW Worker","C000226","Yes","Yes","Yes","Not Requested","ac110008-79a9-1e0e-8179-b40cc22b0259","Ruiz","Active","Joy Ruiz","90313f61ea6f46139005094d2c383a82"
,"Acme Consulting","200","Accepted","No","Marshall.Ross@acme.com","9807778899","08/06/2021","Marshall",,"demo+PTKBX@seczetta.com","SOW Worker","C000283","No","No","No","Not Requested","ac110006-7b1c-1927-817b-1cf0951f0015","Ross","Active","Marshall Ross","654f5368ed734841b7e5bf2d7c015d9c"
,"Acme Consulting",,"Accepted","No","stufts@acme.com","3032501234","06/04/2021","Sean",,"demo+QBBWN@seczetta.com","SOW Worker","C000232",,,,"Not Requested",,"Tufts","Terminated","Sean Tufts","945d0fa9dc77488c8b5bfff238d64971"
"No","Acme Consulting","200","Accepted","No","Lena.Douglas@acme.com","3126954545","06/29/2021","Lena","Identity Assessment - Sept 2020","demo+JLMGX@seczetta.com","SOW Worker","C000259","Yes","Yes","Yes","Not Requested","ac11000a-7a34-165d-817a-597f1c7001b7","Douglas","Active","Lena Douglas","4660e993fd8b4863b1dae6cee3b22d96"
,"Acme Consulting",,,,"Mary.Hopkins@cisco.com",,,"Mary","IAM Services - May 2014",,,,"No","No","Yes",,,"Hopkins","Inactive","Mary Hopkins","b7cb07e895124c24bfc0cb36e5e3c90a"
,"Infosys",,,,"Alice.Jimenez@infosys.com",,,"Alice","Azure Implementation - Oct 2017",,,,,,,,,"Jimenez","Active","Alice Jimenez","16f2130eadc34f02859af2511180eb3d"
,"Acme Consulting","200","Accepted",,"llopez@acme.com","3036988596","05/06/2021","Lauren","IAM Consulting Services - Nov 2017","demo+BBEQJ@seczetta.com",,"C000198","No","Yes","Yes",,"ac110004-793d-14e4-8179-42ee7b4e001e","Lopez","Active","Lauren Lopez","5e9026dd4d584c09a99145aba3b77e3b"
,"Acme Consulting",,,,"genesisturner@acme.com",,"03/12/2021","Genesis","SailPoint Implementation Services - July 2019","thook@seczetta.com",,"D000176",,,,,,"Turner","Active","Genesis Turner","30bdcee0983749fa99e2dbb4c7583084"
,"Ernst & Young",,,,"Megan.Castro@ey.com",,,"Megan","SailPoint Quote - July 2011",,,,,,,,,"Castro","Active","Megan Castro","5b70fc2755ff4d90aee9530ff4181022"
,"Acme Consulting","200","Accepted",,"tmills@acme.com","3036457895","04/26/2021","Teresa","Oracle Workshop - June 2015","demo+YIEII@seczetta.com",,"C000187","No","Yes","Yes",,"ac110006-78f0-197f-8179-0f28e196013b","Mills","Active","Teresa Mills","beeb0c0735bb44be9bae40471a0f0d52"
,"Acme Consulting",,"Accepted","No","Samantha.Palmer@acme.com","3126943434","08/17/2021","Samantha","Identity Assessment - Sept 2020","demo+OEBMU@seczetta.com","SOW Worker","C000297",,,,"Not Requested",,"Palmer","Active","Samantha Palmer","e90e56e350b948caa19bdf24fffda831"
"No","Acme Consulting","200","Accepted","No","lclarke@acme.com","8154985698","08/19/2021","Lauren","SailPoint Implementation Services - July 2019","demo+HDULA@seczetta.com","SOW Worker","C000301","Yes","Yes","Yes","Not Requested","ac110008-7b5c-11f5-817b-5f7eefdb0023","Clarke","Terminated","Lauren Clarke","468f88d51b1a49d59bfac1ac589e0a90"
,"Accenture","200","Accepted",,"eolson@acme.com","9705259966","04/21/2021","Evelyn","SailPoint Quote - Oct 2010","demo+YFKLY@seczetta.com",,"C000181","No","Yes","No",,"ac110006-78f0-197f-8178-f262cdad0044","Olson","Active","Evelyn Olson","2ab82cb28bfe48ca836bc2af4aa13860"
,"IBM",,,,"Joshua.Moore@ibm.com",,,"Joshua","Financial Workshop Services - June 2017",,,,,,,,,"Moore","Active","Joshua Moore","6a2413a413904468875f8ca2e4551dbb"
,"Optiv",,,,"Deann.Shaw@optiv.com",,"01/19/2021","Deann","SecZetta Services - Nov 2018","thook@seczetta.com",,,,,,,,"Shaw","Active","Deann Shaw","db152da2c5be438aa889bc9548e12f16"
,"Acme Consulting","200","Accepted","No","Danny.Long@acme.com","9807778889","08/10/2021","Danny","On-Demand Outage Services - 2021","demo+HYVQD@seczetta.com","SOW Worker","C000287","No","No","No","Not Requested","ac110006-7af4-148c-817b-321f65f403c9","Long","Active","Danny Long","95f2af09fea64e5c800aa05797341150"
"Yes","Acme Consulting","200","Accepted","Yes","Tom.Kennedy@acme.com","3126943434","05/19/2021","Tom","SecZetta Health Check - July 2016","demo+QBNSB@seczetta.com","SOW Worker","C000211","Yes","Yes","Yes","Not Requested","ac110008-797a-17be-8179-84ddef7900e8","Kennedy","Active","Tom Kennedy","f1017b467daf475d91dc31644eac192c"
"No","Acme Consulting","200","Accepted","Yes","Myrtle.Simpson@acme.com","3126943434","06/21/2021","Myrtle","IAM Consulting Services - Nov 2017","demo+MTNWM@seczetta.com","SOW Worker","C000246","Yes","Yes","Yes","Not Requested","ac110009-7a10-13b9-817a-3055664d3674","Simpson","Active","Myrtle Simpson","59f374cd7f4f4d668b8a0cd08d0d4b60"
,,,,,"jossy.grahams@seczetta.com",,,"Jossy",,,,"000000098",,,,,,"Grahams","Active","Jossy Grahams","7150b68607424c868f2ed1973722abae"
,"PWC",,,," GRice@Acme.com",,,"George",,,,,,,,,,"Rice","Active","George Rice","5918621b40fb4c9b9b4b4bf88b4f3025"
,"PWC",,,,"Brianna.Porter@pwc.com",,,"Brianna","SailPoint Workshop - Sept 2012",,,,,,,,,"Porter","Active","Brianna Porter","7932d60c271444fcae0fc566a5378f5a"
"No","Acme Consulting","200","Accepted","No","Ashley.Banks@acme.com","3126943434","05/19/2021","Ashley","On-Demand Outage Services - 2021","demo+BGHJL@seczetta.com","SOW Worker","C000216","No","Yes","Yes","Not Requested","ac110008-797a-17be-8179-857c70f102a8","Banks","Active","Ashley Banks","da06e98a568347a7a1c77b2b9d3c2777"
"No","Acme Consulting","200","Accepted","Yes","anguyen@acme.com","8162144562","06/10/2021","Ashley","Identity Assessment - Sept 2020","demo+MLXWY@seczetta.com","SOW Worker","C000237","Yes","Yes","Yes","Not Requested","ac110009-79d0-15ab-8179-f75bfaf5024a","Nguyen","Active","Ashley Nguyen","2fabfebe735e4147bcad5dad3626b652"
,,,,,"Ethan.Ramirez@acme.com","+44 123123123",,"Ethan",,,,,,,,,,"Ramirez","Active","Ethan Ramirez","ea3782db6d51456493cf9313211b5ecc"
"No","Acme Consulting","200","Accepted","No","dcraig@acme.com","3031254567","08/02/2021","Dianne","IAM Consulting Services - Nov 2017","demo+VZROT@seczetta.com","SOW Worker","C000280","Yes","Yes","Yes","Not Requested","ac110006-7af4-148c-817b-07ffca6c010a","Craig","Active","Dianne Craig","930196e260394220bd9d28c4e3727b9d"
"No","Acme Consulting","200","Accepted","No","Samuel.Black@acme.com","9804601234","06/30/2021","Samuel","Oracle Workshop - June 2015","demo+JYUOX@seczetta.com","SOW Worker","C000260","Yes","Yes","Yes","Not Requested","ac11000a-7a34-165d-817a-5d0ef0be0217","Black","Active","Samuel Black","4dc18f81ed4f43acb916d580e2b79aa3"
